14457 00000158 ADD,   t0, t0, t1,         rd:0xfffffffe
14458 0000015c ADD,   t0, t0, t1,         rd:0xfffffffd
14459 00000160 ADD,   t0, t0, t1,         rd:0xfffffffc
14460 00000164 ADD,   t0, t0, t1,         rd:0xfffffffb
14461 00000168 ADD,   t0, t0, t1,         rd:0xfffffffa
14462 0000016c ADDI,  t1, z0, 0xfffffffe, rd:0xfffffffe
14463 00000170 ADD,   t0, t1, t0,         rd:0xfffffff8
14464 00000174 ADD,   t0, t1, t0,         rd:0xfffffff6
14465 00000178 ADD,   t0, t1, t0,         rd:0xfffffff4
14466 0000017c ADD,   t0, t1, t0,         rd:0xfffffff2
14467 00000180 ADD,   t0, t1, t0,         rd:0xfffffff0
14468 00000184 SW,    t0, s0, 0x00000000, sram1[0x00010000]=0xfffffff0
14469 00000188 ADDI,  s0, s0, 0x00000004, rd:0x00010004
14470 0000018c ADDI,  t0, z0, 0x00000000, rd:0x00000000
14471 00000190 ADDI,  t1, z0, 0xffffffff, rd:0xffffffff
14472 00000194 SUB,   t0, t0, t1,         rd:0x00000001
14473 00000198 SUB,   t0, t0, t1,         rd:0x00000002
14474 0000019c SUB,   t0, t0, t1,         rd:0x00000003
14475 000001a0 SUB,   t0, t0, t1,         rd:0x00000004
14476 000001a4 SUB,   t0, t0, t1,         rd:0x00000005
14477 000001a8 ADDI,  t1, z0, 0xfffffffd, rd:0xfffffffd
14478 000001ac SUB,   t0, t1, t0,         rd:0xfffffff8
14479 000001b0 SUB,   t0, t1, t0,         rd:0x00000005
14480 000001b4 SUB,   t0, t1, t0,         rd:0xfffffff8
14481 000001b8 SUB,   t0, t1, t0,         rd:0x00000005
14482 000001bc SUB,   t0, t1, t0,         rd:0xfffffff8
14483 000001c0 SW,    t0, s0, 0x00000000, sram1[0x00010004]=0xfffffff8
14484 000001c4 ADDI,  s0, s0, 0x00000004, rd:0x00010008
14485 000001c8 ADDI,  t0, z0, 0x00000001, rd:0x00000001
14486 000001cc ADDI,  t1, z0, 0x00000001, rd:0x00000001
14487 000001d0 SLL,   t0, t0, t1,         rd:0x00000002
14488 000001d4 SLL,   t0, t0, t1,         rd:0x00000004
14489 000001d8 SLL,   t0, t0, t1,         rd:0x00000008
14490 000001dc SLL,   t0, t0, t1,         rd:0x00000010
14491 000001e0 SLL,   t0, t0, t1,         rd:0x00000020
14492 000001e4 ADDI,  t1, z0, 0x00000002, rd:0x00000002
14493 000001e8 SLL,   t0, t1, t0,         rd:0x00000002
14494 000001ec SLL,   t0, t1, t0,         rd:0x00000008
14495 000001f0 SLL,   t0, t1, t0,         rd:0x00000200
14496 000001f4 SLL,   t0, t1, t0,         rd:0x00000002
14497 000001f8 SLL,   t0, t1, t0,         rd:0x00000008
14498 000001fc SW,    t0, s0, 0x00000000, sram1[0x00010008]=0x00000008
14499 00000200 ADDI,  s0, s0, 0x00000004, rd:0x0001000c
14500 00000204 ADDI,  t0, z0, 0xffffffff, rd:0xffffffff
14501 00000208 ADDI,  t1, z0, 0x00000001, rd:0x00000001
14502 0000020c SLT,   t0, t0, t1,         rd:0x00000001
14503 00000210 SLT,   t0, t0, t1,         rd:0x00000000
14504 00000214 SLT,   t0, t0, t1,         rd:0x00000001
14505 00000218 SLT,   t0, t0, t1,         rd:0x00000000
14506 0000021c SLT,   t0, t0, t1,         rd:0x00000001
14507 00000220 ADDI,  t1, z0, 0xffffffff, rd:0xffffffff
14508 00000224 SLT,   t0, t1, t0,         rd:0x00000001
14509 00000228 SLT,   t0, t1, t0,         rd:0x00000001
14510 0000022c SLT,   t0, t1, t0,         rd:0x00000001
14511 00000230 SLT,   t0, t1, t0,         rd:0x00000001
14512 00000234 SLT,   t0, t1, t0,         rd:0x00000001
14513 00000238 SW,    t0, s0, 0x00000000, sram1[0x0001000c]=0x00000001
14514 0000023c ADDI,  s0, s0, 0x00000004, rd:0x00010010
14515 00000240 ADDI,  t0, z0, 0xffffffff, rd:0xffffffff
14516 00000244 ADDI,  t1, z0, 0x00000001, rd:0x00000001
14517 00000248 SLTU,  t0, t0, t1,         rd:0x00000000
14518 0000024c SLTU,  t0, t0, t1,         rd:0x00000001
14519 00000250 SLTU,  t0, t0, t1,         rd:0x00000000
14520 00000254 SLTU,  t0, t0, t1,         rd:0x00000001
14521 00000258 SLTU,  t0, t0, t1,         rd:0x00000000
14522 0000025c SLTU,  t0, t0, t1,         rd:0x00000001
14523 00000260 ADDI,  t1, z0, 0x00000000, rd:0x00000000
14524 00000264 SLTU,  t0, t1, t0,         rd:0x00000001
14525 00000268 SLTU,  t0, t1, t0,         rd:0x00000001
14526 0000026c SLTU,  t0, t1, t0,         rd:0x00000001
14527 00000270 SLTU,  t0, t1, t0,         rd:0x00000001
14528 00000274 SLTU,  t0, t1, t0,         rd:0x00000001
14529 00000278 SW,    t0, s0, 0x00000000, sram1[0x00010010]=0x00000001
14530 0000027c ADDI,  s0, s0, 0x00000004, rd:0x00010014
14531 00000280 ADDI,  t0, z0, 0xffffffff, rd:0xffffffff
14532 00000284 LUI,   t1,     0xf0f0f000, rd:0xf0f0f000
14533 00000288 ADDI,  t1, t1, 0x000000f0, rd:0xf0f0f0f0
14534 0000028c XOR,   t0, t0, t1,         rd:0x0f0f0f0f
14535 00000290 XOR,   t0, t0, t1,         rd:0xffffffff
14536 00000294 XOR,   t0, t0, t1,         rd:0x0f0f0f0f
14537 00000298 XOR,   t0, t0, t1,         rd:0xffffffff
14538 0000029c XOR,   t0, t0, t1,         rd:0x0f0f0f0f
14539 000002a0 LUI,   t1,     0x77777000, rd:0x77777000
14540 000002a4 ADDI,  t1, t1, 0x00000777, rd:0x77777777
14541 000002a8 XOR,   t0, t1, t0,         rd:0x78787878
14542 000002ac XOR,   t0, t1, t0,         rd:0x0f0f0f0f
14543 000002b0 XOR,   t0, t1, t0,         rd:0x78787878
14544 000002b4 XOR,   t0, t1, t0,         rd:0x0f0f0f0f
14545 000002b8 XOR,   t0, t1, t0,         rd:0x78787878
14546 000002bc SW,    t0, s0, 0x00000000, sram1[0x00010014]=0x78787878
14547 000002c0 ADDI,  s0, s0, 0x00000004, rd:0x00010018
14548 000002c4 ADDI,  t0, z0, 0xffffffff, rd:0xffffffff
14549 000002c8 LUI,   t1,     0x75ecb000, rd:0x75ecb000
14550 000002cc ADDI,  t1, t1, 0xfffff864, rd:0x75eca864
14551 000002d0 SRL,   t0, t0, t1,         rd:0x0fffffff
14552 000002d4 SRL,   t0, t0, t1,         rd:0x00ffffff
14553 000002d8 SRL,   t0, t0, t1,         rd:0x000fffff
14554 000002dc SRL,   t0, t0, t1,         rd:0x0000ffff
14555 000002e0 SRL,   t0, t0, t1,         rd:0x00000fff
14556 000002e4 LUI,   t1,     0x12345000, rd:0x12345000
14557 000002e8 ADDI,  t1, t1, 0x00000678, rd:0x12345678
14558 000002ec SRL,   t0, t1, t0,         rd:0x00000000
14559 000002f0 SRL,   t0, t1, t0,         rd:0x12345678
14560 000002f4 SRL,   t0, t1, t0,         rd:0x00000012
14561 000002f8 SRL,   t0, t1, t0,         rd:0x0000048d
14562 000002fc SRL,   t0, t1, t0,         rd:0x000091a2
14563 00000300 SW,    t0, s0, 0x00000000, sram1[0x00010018]=0x000091a2
14564 00000304 ADDI,  s0, s0, 0x00000004, rd:0x0001001c
14565 00000308 LUI,   t0,     0x87654000, rd:0x87654000
14566 0000030c ADDI,  t0, t0, 0x00000321, rd:0x87654321
14567 00000310 ADDI,  t1, z0, 0x00000004, rd:0x00000004
14568 00000314 SRA,   t0, t0, t1,         rd:0x08765432
14569 00000318 SRA,   t0, t0, t1,         rd:0x00876543
14570 0000031c SRA,   t0, t0, t1,         rd:0x00087654
